,UniversityName,Address,State,Type,CreateDT
202,Manipur Technical University,"Takyelpat, Imphal Manipur",Manipur -,State university,2020-02-23 11:27:02.440298
203,Manipur University of Culture,"Palace Compound, Imphal East,",Manipur - 795001,State university,2020-02-23 11:27:02.440298
204,National Sports University,"Olympic Bhawan, Khuman Lampak, Sports Complex, Manipur",Manipur - 795001,State university,2020-02-23 11:27:02.440298
205,Allahabad State University,"CPI Parisar, Civil Lines, Allahabad",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
206,Banda University of Agriculture & Technology,Banda Uttar Pradesh,Uttar Pradesh - 210001,State university,2020-02-23 11:27:02.440298
207,Bundelkhand University,"Kanpur Road, Jhansi, PIN - 284 128 (UP)",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
208,Chandr Shekhar Azad University of Agriculture & Technology,Kanpur - 208 002.,Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
209,Chatrapati Sahuji Maharaj Kanpur University,"Kalyanpur, KANPUR",Uttar Pradesh - 208 024,State university,2020-02-23 11:27:02.440298
210,Choudary Charan Singh University,Meerut - 200 005.,Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
211,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur PIN - 273 009. (U.P.),Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
212,Dr. A.P.J. Abdul Kalam Technical University,"Sector -11, Jankipuram Extension Yojna, Lucknow",Uttar Pradesh - 226031,State university,2020-02-23 11:27:02.440298
213,Dr. B.R. Ambedkar University,Agra-282 004.,Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
214,Dr. Ram Manohar Lohia Awadh University,Faizabad-224 001 (U.P),Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
215,Dr. Ram Manohar Lohia Institute of Medical Sciences,"Vibhuti Khand, Gomti Nagar, Lucknow",Uttar Pradesh - 226010,State university,2020-02-23 11:27:02.440298
216,Dr. Ram Manohar Lohiya National Law University,"Sector-D-1,L.D.A.Kanpur Road Scheme Lucknow, U.P.",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
217,Dr. Shakuntala Misra National Rehabilitation University,"5th Floor, Administrative Building Mohaan Road, Lucknow",Uttar Pradesh - 226017,State university,2020-02-23 11:27:02.440298
218,Gautam Buddha University,"Greater Noida, Dist: Gautam Budh - Nagar, Uttar Pradesh- 201 308",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
219,Harcourt Butler Technical University,Kanpur,Uttar Pradesh - 208002,State university,2020-02-23 11:27:02.440298
220,Jananayak Chandrashekhar University,Ballia,Uttar Pradesh - 277001,State university,2020-02-23 11:27:02.440298
221,"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University","Sitapur - Hardoi Bypass Road, Near I.I.M. Lucknow",Uttar Pradesh - 226013,State university,2020-02-23 11:27:02.440298
222,King Georges Medical University,"Lucknow, U.P.",Uttar Pradesh - 226003,State university,2020-02-23 11:27:02.440298
223,Lucknow University,"Lucknow, PIN - 226 007.",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
224,M.J.P. Rohilkhand University,"Doli Lal Agarwal Marg, Bareilly",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
225,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh - 273 010,State university,2020-02-23 11:27:02.440298
226,Mahamaya Technical University,"C-22, Sector-62 Noida G.B. Nagar",Uttar Pradesh - 201301,State university,2020-02-23 11:27:02.440298
227,Mahatam Gandhi Kashi Vidyapeeth,Varanasi-221 002 (U.P),Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
228,Narendra Deo University of Agriculture & Technology,"Kumarganj, Faizabad - 224 229. (U.P)",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
229,Sampurnanand Sanskrit Vishwavidyalaya,Varanasi - 221 002. (UP),Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
230,Sardar Vallabh Bhai Patel University of Agriculture & Technology,"Modipuram, Meerut, U.P-250110",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
231,Siddharth University,"kapilvastu, Siddharth Nagar",Uttar Pradesh - 272202,State university,2020-02-23 11:27:02.440298
232,U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,Mathura Uttar Pradesh,Uttar Pradesh - 281001,State university,2020-02-23 11:27:02.440298
233,U.P. Rajarshi Tandon Open University,"University Campus, Shantipuram (Sector-F)Phaphamau Allahabad-211013",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
234,U.P.King George's University of Dental Sciences,Lucknow,Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
235,Uttar Pradesh University of Medical Sciences,"Saifai, Etawah",Uttar Pradesh - 206130,State university,2020-02-23 11:27:02.440298
236,Veer Bahadur Singh Purvanchal University,"Shahganj Road, Jaunpur PIN-222002 (U.P.)",Uttar Pradesh -,State university,2020-02-23 11:27:02.440298
237,Ambedkar University Delhi (AUD),"Lothian Road, Kashmere Gate Delhi",Delhi - 110006,State university,2020-02-23 11:27:02.440298
238,Delhi Pharmaceutical Sciences & Research University,"DISPAR Campus, Sector - III, Pushp Vihar, M B Road,",Delhi - 110017,State university,2020-02-23 11:27:02.440298
239,Delhi Technological University,"Shahbad Daultapur, Bawana Road, Delhi",Delhi -,State university,2020-02-23 11:27:02.440298
240,Guru Gobind Singh Indraprastha Vishwavidyalaya,"Sector_16C, Dwarka New Delhi",Delhi - 110 075,State university,2020-02-23 11:27:02.440298
241,Indira Gandhi Delhi Technical University for Women,Kashmere Gate Delhi,Delhi - 110006,State university,2020-02-23 11:27:02.440298
242,Indraprastha Institute of Information Technology,"Near Govind Puri Metro Station, Okhala Industrial Estate,, Okhla Phase III",Delhi - 110020,State university,2020-02-23 11:27:02.440298
243,National Law University,"Sector-14, Dwarka New Delhi-110 078",Delhi - 110 078,State university,2020-02-23 11:27:02.440298
244,Netaji Subhas University of Technology,"Azad Hind Fauj Marg, Sector-3, Dwarka",Delhi - 110078,State university,2020-02-23 11:27:02.440298
245,"Akkamahadevi women's University (Formerly known as ""Karnataka State Women's University)",Vijayapur Karnataka-586101,Karnataka -,State university,2020-02-23 11:27:02.440298
246,Bangalore University,"Jnana Bharathi, Bangalore",Karnataka - 560056,State university,2020-02-23 11:27:02.440298
247,Bengaluru Central University,"Central College Campus, Dr. Ambedkar Veedhi Bengaluru,",Karnataka - 560001,State university,2020-02-23 11:27:02.440298
248,Bengaluru Dr. B. R. Ambedkar School of Economics University,"Rajaji Hall, Central College Campus, Bangalore University, Bengaluru",Karnataka - 560001,State university,2020-02-23 11:27:02.440298
249,Bengaluru North University,"Devaraj Urs Extension, Tamaka Kolar, Karnataka",Karnataka - 563103,State university,2020-02-23 11:27:02.440298
250,Davangere University,Shivagangothri Davangere Karnataka-577002,Karnataka -,State university,2020-02-23 11:27:02.440298
251,Gulbarga University,"Jnana Ganga, Gulbarga, PIN - 585 106, KARNATAKA",Karnataka -,State university,2020-02-23 11:27:02.440298
252,Kannada University,"Vidyaranya, Hospet Taluk Hampi (Dt. Bellary) 583276",Karnataka -,State university,2020-02-23 11:27:02.440298
253,Karanataka State Law University,"Navanagar, Hubli-580025 Karnataka",Karnataka -,State university,2020-02-23 11:27:02.440298
254,Karanataka State Open University,Manasangangotri Mysore-570006,Karnataka -,State university,2020-02-23 11:27:02.440298
255,Karanataka University,"Karnatak University, Pavate Nagar, Dharwad, PIN - 580 003.",Karnataka -,State university,2020-02-23 11:27:02.440298
256,"Karanataka Veterinary, Animal & Fisheries Science University","Nandinagar PB No.6,Bidar-585401(Karnataka",Karnataka -,State university,2020-02-23 11:27:02.440298
257,Karnataka Folklore University,"#2/106, KASSIA Bldg, 3rd Floor, 17th Cross, Magadi Chord Road Vijayanagar, Banglore",Karnataka - 560 040,State university,2020-02-23 11:27:02.440298
258,Karnataka Sanskrit University,"Sri Chamarajendra Sanskrit College campus, Pampa Mahakavi Road,Chamarajpet Bangalore",Karnataka - 580018,State university,2020-02-23 11:27:02.440298
259,Karnataka State Rural Development and Panchayat Raj University,"Raitha Bhavana, General Cariappa Circle, Gadag, Karnataka- 582101 Regional Office:- Grameenabhivruddhi Bhavan, Ananda Rao Circle, Bengaluru-560009",Karnataka - 582101,State university,2020-02-23 11:27:02.440298
260,KSGH Music and Performing Arts University,"LJB Road, Near Ashoka Circle Ladshmipuram, Mysore",Karnataka - 570004,State university,2020-02-23 11:27:02.440298
261,Kuvempu University,"Gnana Sahyadri,Dt.Shimoga PIN -577 451. KARNATAKA.",Karnataka -,State university,2020-02-23 11:27:02.440298
262,Mandya University,"M.C. Road, Mandya",Karnataka - 571401,State university,2020-02-23 11:27:02.440298
263,Mangalore University,Mangalagaongothri Mangalore - 574 199.,Karnataka -,State university,2020-02-23 11:27:02.440298
264,Mysore University,"Crawford Hall, Mysore - 570 005.",Karnataka -,State university,2020-02-23 11:27:02.440298
265,National law School of India University,"PB.7201, Nagarbhavi Bangalore - 560 072.",Karnataka -,State university,2020-02-23 11:27:02.440298
266,Rajiv Gandhi University of Health Science,Jayanagar Bangalore - 560 041.,Karnataka -,State university,2020-02-23 11:27:02.440298
267,Rani Channamma University,"Vidyasangama,N.G-4, P.B Highway, Belagavi",Karnataka - 591156,State university,2020-02-23 11:27:02.440298
268,Tumkur University,"Vishwavidyanilaya Karyalaya B.H. Road, Tumkur",Karnataka - 572 103,State university,2020-02-23 11:27:02.440298
269,University of Agricultural Sciences,"GKVK - Campus,Bangalore -560 024",Karnataka -,State university,2020-02-23 11:27:02.440298
270,University of Agricultural Sciences,"Krishi Nagar, Dharwad - 580 005.",Karnataka -,State university,2020-02-23 11:27:02.440298
271,University of Agricultural Sciences,"Lingasuguru Road, Raichur",Karnataka - 584104,State university,2020-02-23 11:27:02.440298
272,University of Horticultural Sciences,"Bagalkot,Udyanagiri Near Seemikeri Cross, Bagalkot",Karnataka - 587104,State university,2020-02-23 11:27:02.440298
273,Vesveswaraiah Technological University,"Jnana Sangama, Belgaum-590018(Karnataka)",Karnataka -,State university,2020-02-23 11:27:02.440298
274,Vijayanagara Sri Krishnadevaraya University,"Jnana Sagara Campus, Vinayaka Nagar, Contonment,Bellary",Karnataka - 583104,State university,2020-02-23 11:27:02.440298
275,Berhampur University,"Berhampur, Bhanja Bihar, Dt. Ganjam PIN-760 007. odisha",Orissa -,State university,2020-02-23 11:27:02.440298
276,Biju Patnaik University of Technology,"Jail Road,Rourkela Orissa",Orissa -,State university,2020-02-23 11:27:02.440298
277,Fakir Mohan University,"Vyas Vihar, Nuapadhi, Balasore",Orissa - 756 020,State university,2020-02-23 11:27:02.440298
278,Gangadhar Meher University,Sambalpur,Orissa - 768004,State university,2020-02-23 11:27:02.440298
279,International Institute of Information Technology (IIIT),"Gothaparna, P.O-Malipada, Bhubaneswar",Orissa - 751003,State university,2020-02-23 11:27:02.440298
280,Khallikote University,"Khallikote College Campus, Ganjam, Berhampur,","Orissa - 760001,",State university,2020-02-23 11:27:02.440298
281,National Law University,"Kathajodi Campus, Sec – 13,CDA Cuttack",Orissa - 753015,State university,2020-02-23 11:27:02.440298
282,North Orissa University,"Baripada, District Mayurbhanj , Bhuabaneswar",Orissa - 757 003,State university,2020-02-23 11:27:02.440298
283,Odisha State Open University,"G.M. University Campus, Budharaja, Sambalpur",Orissa - 768004,State university,2020-02-23 11:27:02.440298
284,Orissa University Of Agriculture & Technology,Bhubaneshwar - 751 003.,Orissa -,State university,2020-02-23 11:27:02.440298
285,Rama Devi Women's University,Bhubaneswar odisha,Orissa -,State university,2020-02-23 11:27:02.440298
286,Ravenshaw University,Cuttack,Orissa - 753 003,State university,2020-02-23 11:27:02.440298
287,Sambalpur University,"Jyoti Vihar, Burla, Sambalpur - 768 019.",Orissa -,State university,2020-02-23 11:27:02.440298
288,Shri Jagannath Sanskrit Vishwavidyalaya,PURI - 752 001. (ORISSA),Orissa -,State university,2020-02-23 11:27:02.440298
289,Utkal University,"Vani Vihar, Bhubaneshwar - 751 004.",Orissa -,State university,2020-02-23 11:27:02.440298
290,Utkal University of Culture,"PB No.4,Sardar Patel Hall Comp Unit 2,Bhubaneswar 751009",Orissa -,State university,2020-02-23 11:27:02.440298
291,Veer Surendra Sai Institute of Medical Science and Research,"Ayuvihar, Burla Sambalpur",Orissa - 768017,State university,2020-02-23 11:27:02.440298
292,Veer Surendra Sai University of Technology,"P.O. Burla Engg. College, Distt. Sambalpur, Orissa",Orissa -,State university,2020-02-23 11:27:02.440298
293,Doon University,"Campus Office 388/2, Indira Nagar Dehradun",Uttarakhand -,State university,2020-02-23 11:27:02.440298
294,G.B.Pant University of Agriculture & Technology,Pantnagar Udham Singh Nagar-263 145 Uttarakhand,Uttarakhand -,State university,2020-02-23 11:27:02.440298
295,Hemwati Nandan Bahuguna Medical Education University,"124, Ganga Vihar Opposite Roadways Workshop Haridwar Road, Dehradun",Uttarakhand - 248 001,State university,2020-02-23 11:27:02.440298
296,Kumaun University,Nanital,Uttarakhand - 263001,State university,2020-02-23 11:27:02.440298
297,Sri Dev Suman Uttarakhand Vishwavidyalaya,"Badshahithaul, Tehri Garhwal",Uttarakhand - 249 199,State university,2020-02-23 11:27:02.440298
298,Uttarakhand Aawasiya Viswavidyalaya,"Jagat Singh Bist Rajkiya Hotel Management and Catering Sansthan Parisar, Chilkapita, Khatyadi, Almora",Uttarakhand - 263601,State university,2020-02-23 11:27:02.440298
299,Uttarakhand Ayurved University,"7-A, Pleasant Valley Rajpur Road Dehradun",Uttarakhand - 248 009,State university,2020-02-23 11:27:02.440298
300,Uttarakhand Open University,"Near Transport Nagar,Teen Pani By Pass Road Post Office:- Industrial Estate Haldwani (Nainital)",Uttarakhand - 263139,State university,2020-02-23 11:27:02.440298
301,Uttarakhand Sanskrit University,"NH-58, BHEL More, Haridwar-Delhi National Highway, P.O. Bahadarabad Haridwar",Uttarakhand - 249 402,State university,2020-02-23 11:27:02.440298
302,Uttarakhand Technical University,"A-12, Saraswati Vihar, lover Aghoe- wala, Dehrdun",Uttarakhand -,State university,2020-02-23 11:27:02.440298
303,Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,"Bharsar, Pauri Garhwal Uttrakhand",Uttarakhand -,State university,2020-02-23 11:27:02.440298
304,Goa University,"Teleiogao Plateau, Goa - 403 206",Goa -,State university,2020-02-23 11:27:02.440298
305,A.P.J. Abdul Kalam Technological University,"CET Campus, Thiruvananthapuram",Kerala - 695016,State university,2020-02-23 11:27:02.440298
306,Calicut University,Calicut University P.O. Malappuram District Calicut,Kerala - 673 635,State university,2020-02-23 11:27:02.440298
307,Cochin Unviersity of Science & Technology,"Kochi, Cochin - 682 022.",Kerala -,State university,2020-02-23 11:27:02.440298
308,Kannur University,Mangattuparamba Distt- Kannur,Kerala - 670 567,State university,2020-02-23 11:27:02.440298
309,Kerala Agricultural Unviersity,"Vellanikkara, Thrissur - 680 654.",Kerala -,State university,2020-02-23 11:27:02.440298
310,Kerala University,Thiruvananthapuram - 695 0,Kerala -,State university,2020-02-23 11:27:02.440298
311,Kerala University of Fisheries & Ocean Studies,Ranangarh Kochi,Kerala - 682506,State university,2020-02-23 11:27:02.440298
312,Kerala University of Health Sciences,Trissur,Kerala - 680596,State university,2020-02-23 11:27:02.440298
313,Kerala Veterinary & Animal Sciences University,"Pookot, Lakkidi PO Wayanad",Kerala -,State university,2020-02-23 11:27:02.440298
314,Mahatma Gandhi Unversity,"Kottayam, PIN - 686 560. (KERALA).",Kerala -,State university,2020-02-23 11:27:02.440298
315,National University of Advanced Legal Studies (NUALS),"Kaloor, Kochi-682017, Kerala",Kerala -,State university,2020-02-23 11:27:02.440298
316,Shree Sankaracharaya University of Sanskrit,"P.B.No. 14, Kalady District, Ernakulam Kalady",Kerala -,State university,2020-02-23 11:27:02.440298
317,Thunchath Ezhuthachan Malayalam University,"Aksharam Campus Vakkad PO, Tirur, Malappuram",Kerala - 676 502,State university,2020-02-23 11:27:02.440298
318,Baba Farid University of Health Sciences,Sadiq Road Faridkot-151 203 Panjab,Punjab -,State university,2020-02-23 11:27:02.440298
319,Guru Angad Dev Veterinary & Animal Sciences University,"Ferozepur Road, Ludhiana Punjab-141004",Punjab -,State university,2020-02-23 11:27:02.440298
320,Guru Nanak Dev University,Amritsar PIN - 143 005,Punjab -,State university,2020-02-23 11:27:02.440298
321,Guru Ravidas Ayurved University,"Jodhmal Hohiarpur, Punjab",Punjab -,State university,2020-02-23 11:27:02.440298
322,Maharaja Ranjit Singh Punjab Technical University,Dabwali Road Bathinda,Punjab - 151001,State university,2020-02-23 11:27:02.440298
323,Punjab Agriculture University,Ludhiana - 141 004.,Punjab -,State university,2020-02-23 11:27:02.440298
324,Punjab Technical University,"Jalandhar-kapurthala Highway, Near Pushpa Gujral Science City,Kapurthala(PB.)",Punjab - 14460,State university,2020-02-23 11:27:02.440298
325,Punjabi University,"Patiala, PIN - 147 002.",Punjab -,State university,2020-02-23 11:27:02.440298
326,The Maharaja Bhupinder Singh Punjab Sports University,"Mohindra Kothi, Near Fountain Chowk, Patiala",Punjab - 147001,State university,2020-02-23 11:27:02.440298
327,The Rajiv Gandhi National University of Law,"Mohindra Kothi,Patiala-147 001",Punjab -,State university,2020-02-23 11:27:02.440298
328,Aliah University,"IIA/27, New Town, Kolkata",West Bengal - 700160,State university,2020-02-23 11:27:02.440298
329,Bankura University,"Puabagan Camp Office, PO Bhagabandh, Dist. Bankura",West Bengal - 722146,State university,2020-02-23 11:27:02.440298
330,Bidhan Chandra Krishi Vishwavidyalaya,"P.O.Krishi Viswavidyalaya,Mohanpur Distt. Nadia 741 252 (WB)",West Bengal -,State university,2020-02-23 11:27:02.440298
331,Burdwan University,Rajbati Burdwan,West Bengal -,State university,2020-02-23 11:27:02.440298
332,Calcutta University,Kolkata PIN - 700 073.,West Bengal -,State university,2020-02-23 11:27:02.440298
333,Cooch Behar Panchanan Barma University,Vibekananda Road Cooch Behar,West Bengal - 736101,State university,2020-02-23 11:27:02.440298
334,Diamond Harbour Women's University,"Sarisha Diamond Harbour Road, District: South 24 paraganas,",West Bengal - 743368,State university,2020-02-23 11:27:02.440298
335,Jadavpur University,"Jadavpur University, Kolkatta, PIN - 700 032.",West Bengal -,State university,2020-02-23 11:27:02.440298
336,Kalyani University,Kalyani,West Bengal -,State university,2020-02-23 11:27:02.440298
337,Kazi Nazrul University,"Nazrul Road, Kalla Bypass More PO – Kalla, C. H., P. s. Asansol (North) Dist. Paschim Bardhman",West Bengal - 713 304,State university,2020-02-23 11:27:02.440298
338,Maulana Abul Kalam Azad University of Technology,"BF-142, Sector-1, Salt Lake city, Sector-I, Kolkata",West Bengal - 700064,State university,2020-02-23 11:27:02.440298
339,Netaji Shubhash Open University,"DD-26, Salt Lake, Sector-1, Kolkata.",West Bengal - 700064,State university,2020-02-23 11:27:02.440298
340,North Benagal University,"Raja Ram Mohanpur, Dist. Darjeeling - 734 430.(WB)",West Bengal -,State university,2020-02-23 11:27:02.440298
341,Presidency University,86/1 College Street Kolkata,West Bengal - 700073,State university,2020-02-23 11:27:02.440298
342,Rabindra Bharati University,"56A, Barrackpore Trunk Road Kolkata - 700 050.",West Bengal -,State university,2020-02-23 11:27:02.440298
343,Raiganj University,"P.O. Raiganj, Dist. Uttar Dinajpur West Bengal",West Bengal - 733134,State university,2020-02-23 11:27:02.440298
344,Sidho-Kanho-Birsha University,"Administrative Building, Ranchi Road Campus, Near Sainik School,Purulia",West Bengal - 723104,State university,2020-02-23 11:27:02.440298
345,The Bengal Engineering & Science University,Shibpur Howrah,West Bengal -,State university,2020-02-23 11:27:02.440298
346,The Sanskrit College and University,Bankim Chaterjee Street Kolkata,West Bengal - 700073,State university,2020-02-23 11:27:02.440298
347,The West Bengal National University of Juridical Science,"Aranya Bhavan, 10A LA Blk.,S.L City,Calcutta",West Bengal -,State university,2020-02-23 11:27:02.440298
348,The West Bengal University of Health Sciences,"DD-36, Secotor-1 Salt Lake Kolkata",West Bengal - 700064,State university,2020-02-23 11:27:02.440298
349,Univesity of Gour Banga,"N.H. 34, P.O. Mokdumpur Distt. Malda",West Bengal - 732103,State university,2020-02-23 11:27:02.440298
350,Uttar Banga Krishi Vishwavidyalaya,"P.O. Pundibari, Distt.- Cooch Behar, West Bengal-736165",West Bengal -,State university,2020-02-23 11:27:02.440298
351,Vidya Sagar University,"PO. -Vidyasagar University Midnapore-721102, Dist.-paschim Mediripur, (W.B.)",West Bengal -,State university,2020-02-23 11:27:02.440298
352,West Bengal State University,"Barasat Govt. College, Annexe Building 10knc, Kolkata-700124",West Bengal -,State university,2020-02-23 11:27:02.440298
353,West Bengal University of Animal and Fishery Sciences,Kolkatta -700 037.,West Bengal -,State university,2020-02-23 11:27:02.440298
354,"West Bengal University of Teachers, Training, Education Planning and Administration","25/2 & 25/3, Ballygunge Circular Road Kolkata",West Bengal - 700019,State university,2020-02-23 11:27:02.440298
355,Anand Agricultural University,Anand,Gujarat -,State university,2020-02-23 11:27:02.440298
356,Bhakta Kavi Narsinh Mehta University,"C/o Govt. Polytechnic College Bilkha Road Khadiya, Junagadh",Gujarat - 362640,State university,2020-02-23 11:27:02.440298
357,Birsa Munda Tribal University,"Vocational Training Centre(VTC)) Near RTO Office, Vavdi Road, Vavdi-Rajpipla, Distt.- Narmada",Gujarat - 393145,State university,2020-02-23 11:27:02.440298
358,CEPT University,"University Road Navrangpura,Ahmedabad-380009",Gujarat -,State university,2020-02-23 11:27:02.440298
359,Children's University,"Subhash Chandra Bose Shikshan Sankul Sector-20, Gandhinagar",Gujarat - 382021,State university,2020-02-23 11:27:02.440298
360,Dharmsinh Desai University,"P.Box No. 35 College Road, Nadiad-387001",Gujarat -,State university,2020-02-23 11:27:02.440298
361,Dr. Babasaheb Ambedkar Open University,"Jyotirmay Parisar, Dr Babasaheb Ambedkar Open University Marg, S.G. Highway, Chharodi, Ahmedabad",Gujarat - 382481,State university,2020-02-23 11:27:02.440298
362,Gujarat Ayurveda University,"Chanakya Bhavan, Jamnagar-361 008",Gujarat -,State university,2020-02-23 11:27:02.440298
363,Gujarat Biotechnology University,"C/o Gujarat State Biotechnology Mission, Block 11, 9th Floor, Udyog Bhawan, Gandhinagar",Gujarat - 382011,State university,2020-02-23 11:27:02.440298
364,Gujarat Forensic Sciences University,"Sector-18/A, Near Police Bhavan, Gandhinagar",Gujarat - 382007,State university,2020-02-23 11:27:02.440298
365,Gujarat National Law University,"Attalika Avenue, Knowledge Corridor, Koba (Sub P.O) Gandhinagar,",Gujarat - 382426,State university,2020-02-23 11:27:02.440298
366,Gujarat Technological University,"Gujarat Technological University Campus, Nr.Visat Three Roads, Visat - Gandhinagar Highway Chandkheda, Ahmedabad",Gujarat - 382424,State university,2020-02-23 11:27:02.440298
367,Gujarat University,"P.B.No.4010, Navrangpura, Ahmedabad - 380 009.",Gujarat -,State university,2020-02-23 11:27:02.440298
368,Gujarat University of Transplantation Sciences,"IKDRC-ITS Premises, Civil Hospital Campus, Asarwa, Ahmedabad",Gujarat - 380016,State university,2020-02-23 11:27:02.440298
369,Hemchandracharya North Gujarat University,"Rajmahal Road, Patan- 384 265. (GUJARAT)",Gujarat -,State university,2020-02-23 11:27:02.440298
370,Indian Institute of Teacher Education,"Govt. College Campus Nr. Mahatma Mandir, G-4, Sector-15 Gandhinagar",Gujarat - 382 016,State university,2020-02-23 11:27:02.440298
371,Institute of Infrastructure Technology Research and Management,"Near Khokhara Circle Maninagar (East), Ahmedabad, Gujarat",Gujarat - 380026,State university,2020-02-23 11:27:02.440298
372,Junagarh Agricultural University,Junagarh,Gujarat - 362 001,State university,2020-02-23 11:27:02.440298
373,Kamdhenu University,"Krushibhavan, Sector 10 A, Block B, Podium Level, Gandhinagar",Gujarat - 382010,State university,2020-02-23 11:27:02.440298
374,Krantiguru Shyamji Krishna Verma Kachchh University,"CS-60, Jubilee Ground Bhuj-Kachchh, Gujarat",Gujarat -,State university,2020-02-23 11:27:02.440298
375,Krishnakumarsinhji Bhavnagar University,"Gauri Shankar Lake Road, Bhavnagar",Gujarat - 364 001,State university,2020-02-23 11:27:02.440298
376,Navsari Agriculture University,Navsari,Gujarat - 396450,State university,2020-02-23 11:27:02.440298
377,Raksha Shakti University,"New Mental Corner Meghaninagar, Ahmedabad",Gujarat - 380 016,State university,2020-02-23 11:27:02.440298
378,Sardar Krushinagar Dantiwada Agricultural University,Sardar Krushinagar Dist. Banaskantha,Gujarat - 385506,State university,2020-02-23 11:27:02.440298
379,Sardar Patel University,"P.B. No. 10, Vallabh Vidyanagar Anand-388 120. (GUJARAT)",Gujarat -,State university,2020-02-23 11:27:02.440298
380,Saurashtra University,Kalavad Road Rajkot Gujarat,Gujarat - 360 005,State university,2020-02-23 11:27:02.440298
381,Shree Somnath Sanskrit University,Ta: Veraval District Junagarh,Gujarat -,State university,2020-02-23 11:27:02.440298
382,Shri Govind Guru University,"Government Polytechnic Campus, Gadukpur,Godhra, Dist. Panchmahals",Gujarat - 389001,State university,2020-02-23 11:27:02.440298
383,Swarnim Gujarat Sports University,"Sector-19, Punit Van Road, Near : Suvidha Kenra PTC Building Campus, Gandhinagar",Gujarat - 382 019,State university,2020-02-23 11:27:02.440298
384,The Maharaja Sayajirao University of Baroda,"Head Office, Maharaja Fatehsinghrao Gaekwad Road, Fatehgunj, Vadodara",Gujarat - 390002,State university,2020-02-23 11:27:02.440298
385,Veer Narmad South Gujarat University,Surat,Gujarat - 395 007,State university,2020-02-23 11:27:02.440298
386,Atal Bihari Bajpayee Vishwavidyalaya,"Near Gandhi Chowk, Bilaspur",Chhattisgarh - 495009,State university,2020-02-23 11:27:02.440298
387,Ayush and Health Sciences University of Chhattisgarh,"G.E. Road , Raipur,",Chhattisgarh -,State university,2020-02-23 11:27:02.440298
388,Bastar Vishwavidyalaya,"Jagdalpur, Dist.: Bastar Chhattisgarh -494005",Chhattisgarh -,State university,2020-02-23 11:27:02.440298
389,Chhattisgarh Kamdhenu Vishwavidyalaya,"Anjora ,Durg",Chhattisgarh -,State university,2020-02-23 11:27:02.440298
390,Chhattisgarh Swami Vivekanad Technical Universty,"North Park Avenue , Sector-8 Bhilai, Durg-490009 Chatisgarh",Chhattisgarh -,State university,2020-02-23 11:27:02.440298
391,Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavidyalaya),"Raipur Naka, Durg",Chhattisgarh - 491001,State university,2020-02-23 11:27:02.440298
392,Hidayatullah National Law University,Raipur Chattisgarh-493661,Chhattisgarh -,State university,2020-02-23 11:27:02.440298
393,Indira Gandhi Krishi Vishwavidyalaya,Krishak Nagar Raipur - 492 012.(Chattisgarh),Chhattisgarh -,State university,2020-02-23 11:27:02.440298
394,Indira Kala Sangeet Vishwavidyalaya,Khairagarh-491881.(Chattisgarh),Chhattisgarh -,State university,2020-02-23 11:27:02.440298
395,International Institute of Information Technology,"Plot No.-7, Sector 24, Near Purkhoti, Muktangan, Naya Raipur",Chhattisgarh - 493661,State university,2020-02-23 11:27:02.440298
396,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Raipur (Chattisgarh),Chhattisgarh -,State university,2020-02-23 11:27:02.440298
397,Pt. Sundarlal Sharma (Open) University,"Bilaspur, Vyapar Vihar, Bilaspur-495001 Chhattisgarh",Chhattisgarh -,State university,2020-02-23 11:27:02.440298
398,Pt.Ravishankar Shukla University,Raipur - 492 010 Chattisgarh,Chhattisgarh -,State university,2020-02-23 11:27:02.440298
399,Sarguja University,"Ambikapur, Chhattisgarh",Chhattisgarh -,State university,2020-02-23 11:27:02.440298
400,Bikaner Technical University,"University College of Engineering & Technology, Bikaner Campus, Karni Industrial Area, Pugal Road, Bikaner",Rajasthan - 334004,State university,2020-02-23 11:27:02.440298
