,UniversityName,Address,State,Type,CreateDT
49,Acharaya Nagarjuna University,Nagarjuna Nagar Guntur,Andhra Pradesh - 522 510,State university,2020-02-23 11:27:02.440298
50,Adikavi Nannaya University,"25-07-9/1, Jayakrishnapuram Rajahmundry",Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
51,Andhra University,Visakhapatnam,Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
52,Damodaram Sanjivayya National Law University,"Palace Layout Pedawaltair, Visakhapatnam",Andhra Pradesh - 530017,State university,2020-02-23 11:27:02.440298
53,Dr Shyama Prasad Mukherjee University,Ranchi Jharkhand,Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
54,Dr. Abdul Haq Urdu University,Kurnool,Andhra Pradesh - 518001,State university,2020-02-23 11:27:02.440298
55,Dr. B.R.Ambedkar University,"Srikakulam, Etcherla Andhra Pradesh-532410",Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
56,Dr. N.T.R. University of Health Sciences,Vijayawada,Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
57,Dr. Y.S.R. Horticultural Univerity,P.O. Box No. 7 Venkataramannagudem West Godavari Distt.,Andhra Pradesh - 536 101,State university,2020-02-23 11:27:02.440298
58,Dravidian University,"Kuppam-517 425 Dist : Chitoor, A.P.",Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
59,Jawaharlal Nehru Technological University,"Pithapuram Road, Kakinada Andhra Pradesh-533003",Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
60,Jawaharlal Nehru Technological University,Anantpur Andhra Pradesh -515002,Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
61,Krishna University,"Andhra Jateeya Kalasala, Campus, Rajupeta Machllipatanam",Andhra Pradesh - 521001,State university,2020-02-23 11:27:02.440298
62,Rajiv Gandhi University of Knowledge Technologies,"V. R. Mansions, Kunchanapalli, Guntur District,",Andhra Pradesh - 522501,State university,2020-02-23 11:27:02.440298
63,Rayalaseema University,Kurnool-518 002 Andhra Pradesh,Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
64,Sri krishnadevaraya University,Sri Venkateswarpuram-515055 Anantur Andhra Pradesh,Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
65,Sri Padmavati Mahila Vishwavidyalayam,"Padmavathi Puram, Near West Railway Station, Tirupati - 517 502. Andhra Pradesh, INDIA",Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
66,Sri Venkateswara Institute of Medical Sciences,Triupati-517 507,Andhra Pradesh - 517 507,State university,2020-02-23 11:27:02.440298
67,Sri Venkateswara University,Tirupati- 517 502. A.P.,Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
68,Sri Venkateswara Vedic University,"Administrative Office, Dr.Y.S.R. Bhavan, Tirupati-517502 Chittoor Dist, Andhra Pradesh",Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
69,Sri Venkateswara Veterinary University,"Alipiri-Chandragiri Bypass Road Tirupati , Andhra Pradesh-517 502",Andhra Pradesh -,State university,2020-02-23 11:27:02.440298
70,Vikrama Simhapuri University,"kakutur, Venkatachalam (M.D.) Nellore Andhra Pradesh",Andhra Pradesh - 524320,State university,2020-02-23 11:27:02.440298
71,Yogi Vemana University,"Vemanapuram, Kadapa-516 003",Andhra Pradesh - 516 003,State university,2020-02-23 11:27:02.440298
72,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,"Palampur-176 062 (H.P.) Tehsil, Palampur,Dist.-Kangra",Himachal Pradesh -,State university,2020-02-23 11:27:02.440298
73,Dr. Y.S.Parmar University of Horticulture & Forestry,"Nauni, Solan-173230 (H.P)",Himachal Pradesh -,State university,2020-02-23 11:27:02.440298
74,Himachal Pradesh National Law University,"Ghandal, P.O. Shakrah, Sub-Tehsil Dhami, Shimla",Himachal Pradesh - 171011,State university,2020-02-23 11:27:02.440298
75,Himachal Pradesh Technical University,"Government Polytechnic, Baru, Hamirpur",Himachal Pradesh -,State university,2020-02-23 11:27:02.440298
76,Himachal Pradesh University,Summer Hills Shimla - 171 005. (HP),Himachal Pradesh -,State university,2020-02-23 11:27:02.440298
77,Atal Bihari Vajpayee Hindi Vishwavidyalaya,M.P. Bhoj (Open) University Campus Kolar Marg Bhopal,Madhya Pradesh - 462 016,State university,2020-02-23 11:27:02.440298
78,Awadesh Pratap Singh University,Rewa - 486 003.,Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
79,Barkatullaah University,"Hoshangabad Road, Bhopal - 462 026.",Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
80,Chhindwara University,Chhindwara,Madhya Pradesh - 480001,State university,2020-02-23 11:27:02.440298
81,Devi Ahilya Vishwavidyalaya,"R.N.Tagore Marg, Indore",Madhya Pradesh - 452 001,State university,2020-02-23 11:27:02.440298
82,Dharmashastra National Law University,"Bharat Ratna Bhim Rao Ambedkar Institute of Telecom Training Ridge Road, Civil Lines, Jabalpur",Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
83,Dr. B. R. Ambedkar University of Social Sciences,"Dr. Ambedkar Nagar, Mhow-453441 Dist-Indore, MP",Madhya Pradesh - 453441,State university,2020-02-23 11:27:02.440298
84,Jawaharlal Nehru Krishi Vishwavidyalaya,Krishinagar Jabalpur-482 004.,Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
85,Jiwaji University,Gwalior PIN - 474 001. (MP),Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
86,M.P.Bhoj (open) University,"Raja Bhoj Marg, Kolar Road, Bhopal",Madhya Pradesh - 462016,State university,2020-02-23 11:27:02.440298
87,Madhya Pradesh Pashu Chikitsa Vigyan Vishwavidyalaya,Civil Lines Jabalpur,Madhya Pradesh - 482001,State university,2020-02-23 11:27:02.440298
88,Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,"Chhatarpur,",Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
89,Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,"B.M.birla Shodh Sansthan Parisar, Dewas Road, Ujjain Madhya Pradesh-456010",Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
90,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,Chitrakoot District Satna,Madhya Pradesh - 485334,State university,2020-02-23 11:27:02.440298
91,Makhanlal Chaturvedi National University of Journalism & Communication,"B-38, Vikas Bhavan, Press Complex, MP Nagar, Zone-1 Bhopal",Madhya Pradesh - 462 011,State university,2020-02-23 11:27:02.440298
92,National Law Institute University,Bahahdbhada Road Barkeri Kalan Bhopal,Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
93,Pandit S N Shukla University,Shahdol,Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
94,Raja Mansingh Tomar Music & Arts University,Mahadaji Chowk Achaleshwar Marg Gwalior,Madhya Pradesh - 474 009,State university,2020-02-23 11:27:02.440298
95,Rajiv Gandhi Prodoyogiki Vishwavidyalaya,Airport Bypass Gandhi Nagar Bhopal (M.P.),Madhya Pradesh - 462036,State university,2020-02-23 11:27:02.440298
96,Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya,"Opp. Mela Ground Race Course Road Gwalior,Madhya Pradesh",Madhya Pradesh - 474 002,State university,2020-02-23 11:27:02.440298
97,Rani Durgavati Vishwavidyalaya,Jabalpur - 482 001. (M.P),Madhya Pradesh -,State university,2020-02-23 11:27:02.440298
98,Sanchi University of Buddhist-Indic Studies,"2nd Floor, Institute of Good Governance & Policy Analysis Bhadbhada Square, Bhopal",Madhya Pradesh - 462003,State university,2020-02-23 11:27:02.440298
99,Vikram University,"Ujjain,",Madhya Pradesh - 456 010,State university,2020-02-23 11:27:02.440298
100,Alagappa University,"Alagappapuram, Karaikudi Sivaganga District",Tamil Nadu - 630003,State university,2020-02-23 11:27:02.440298
101,Anna University,Sardar Patel Road Guindy Chennai,Tamil Nadu -,State university,2020-02-23 11:27:02.440298
102,Annamalai University,Annamalainagar,Tamil Nadu - 608 002,State university,2020-02-23 11:27:02.440298
103,Bharathiar University,"Coimbatore, PIN - 641 046. Tamil Nadu",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
104,Bharathidasan University,Palkalaiperur Tiruchirappalli,Tamil Nadu - 620 024,State university,2020-02-23 11:27:02.440298
105,Madaras University,Chepauk Chennai,Tamil Nadu -,State university,2020-02-23 11:27:02.440298
106,Madurai Kamraj University,"Palkainagar, Madurai-625 021.(T.N.).",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
