ProgramID,CourseID,StreamID
1001,1,101
1002,1,102
1003,2,103
1004,2,104
1005,2,105
1006,3,116
1007,3,118
1008,5,106
1009,5,107
1010,5,102
1011,6,106
1012,6,108
1013,6,109
1014,6,110
1015,6,111
1016,6,112
1017,6,113
1018,7,116
1019,7,117
1020,7,118
1021,7,119
1022,7,120
1023,7,121
1024,7,122
1025,7,123
1026,7,124
1027,7,125
1028,7,126
1029,7,127
1030,7,128
1031,4,115
1032,3,119
1033,3,120
1034,3,121
1035,3,123
1036,3,124
1037,3,125
1038,3,126
1039,3,127
1040,3,128
1041,8,114
