,UniversityName,Address,State,Type
261,Karnataka Sanskrit University,"Sri Chamarajendra Sanskrit College campus, Pampa Mahakavi Road,Chamarajpet Bangalore",Karnataka - 580018,State university
262,Karnataka State Rural Development and Panchayat Raj University,"Raitha Bhavana, General Cariappa Circle, Gadag, Karnataka- 582101 Regional Office:- Grameenabhivruddhi Bhavan, Ananda Rao Circle, Bengaluru-560009",Karnataka - 582101,State university
263,KSGH Music and Performing Arts University,"LJB Road, Near Ashoka Circle Ladshmipuram, Mysore",Karnataka - 570004,State university
264,Kuvempu University,"Gnana Sahyadri,Dt.Shimoga PIN -577 451. KARNATAKA.",Karnataka -,State university
265,Mandya University,"M.C. Road, Mandya",Karnataka - 571401,State university
266,Mangalore University,Mangalagaongothri Mangalore - 574 199.,Karnataka -,State university
267,Mysore University,"Crawford Hall, Mysore - 570 005.",Karnataka -,State university
268,National law School of India University,"PB.7201, Nagarbhavi Bangalore - 560 072.",Karnataka -,State university
269,Rajiv Gandhi University of Health Science,Jayanagar Bangalore - 560 041.,Karnataka -,State university
270,Rani Channamma University,"Vidyasangama,N.G-4, P.B Highway, Belagavi",Karnataka - 591156,State university
271,Tumkur University,"Vishwavidyanilaya Karyalaya B.H. Road, Tumkur",Karnataka - 572 103,State university
272,University of Agricultural Sciences,"GKVK - Campus,Bangalore -560 024",Karnataka -,State university
273,University of Agricultural Sciences,"Krishi Nagar, Dharwad - 580 005.",Karnataka -,State university
274,University of Agricultural Sciences,"Lingasuguru Road, Raichur",Karnataka - 584104,State university
275,University of Horticultural Sciences,"Bagalkot,Udyanagiri Near Seemikeri Cross, Bagalkot",Karnataka - 587104,State university
276,Vesveswaraiah Technological University,"Jnana Sangama, Belgaum",Karnataka - 590018,State university
277,Vijayanagara Sri Krishnadevaraya University,"Jnana Sagara Campus, Vinayaka Nagar, Contonment,Bellary",Karnataka - 583104,State university
278,Berhampur University,"Berhampur, Bhanja Bihar, Dt. Ganjam PIN-760 007. odisha",Orissa -,State university
279,Biju Patnaik University of Technology,"Jail Road,Rourkela Orissa",Orissa -,State university
280,Fakir Mohan University,"Vyas Vihar, Nuapadhi, Balasore",Orissa - 756 020,State university
281,Gangadhar Meher University,Sambalpur,Orissa - 768004,State university
282,International Institute of Information Technology (IIIT),"Gothaparna, P.O-Malipada, Bhubaneswar",Orissa - 751003,State university
283,Khallikote University,"Khallikote College Campus, Ganjam, Berhampur,","Orissa - 760001,",State university
284,National Law University,"Kathajodi Campus, Sec – 13,CDA Cuttack",Orissa - 753015,State university
285,North Orissa University,"Baripada, District Mayurbhanj , Bhuabaneswar",Orissa - 757 003,State university
286,Odisha State Open University,"G.M. University Campus, Budharaja, Sambalpur",Orissa - 768004,State university
287,Orissa University Of Agriculture & Technology,Bhubaneshwar - 751 003.,Orissa -,State university
288,Rama Devi Women's University,Bhubaneswar odisha,Orissa -,State university
289,Ravenshaw University,Cuttack,Orissa - 753 003,State university
290,Sambalpur University,"Jyoti Vihar, Burla, Sambalpur - 768 019.",Orissa -,State university
291,Shri Jagannath Sanskrit Vishwavidyalaya,PURI - 752 001. (ORISSA),Orissa -,State university
292,Utkal University,"Vani Vihar, Bhubaneshwar - 751 004.",Orissa -,State university
293,Utkal University of Culture,"PB No.4,Sardar Patel Hall Comp Unit 2,Bhubaneswar 751009",Orissa -,State university
294,Veer Surendra Sai Institute of Medical Science and Research,"Ayuvihar, Burla Sambalpur",Orissa - 768017,State university
295,Veer Surendra Sai University of Technology,"P.O. Burla Engg. College, Distt. Sambalpur, Orissa",Orissa -,State university
296,Doon University,"Campus Office 388/2, Indira Nagar Dehradun",Uttarakhand -,State university
297,G.B.Pant University of Agriculture & Technology,Pantnagar Udham Singh Nagar-263 145 Uttarakhand,Uttarakhand -,State university
298,Hemwati Nandan Bahuguna Medical Education University,"124, Ganga Vihar Opposite Roadways Workshop Haridwar Road, Dehradun",Uttarakhand - 248 001,State university
299,Kumaun University,Nanital,Uttarakhand - 263001,State university
300,Sri Dev Suman Uttarakhand Vishwavidyalaya,"Badshahithaul, Tehri Garhwal",Uttarakhand - 249 199,State university
301,Uttarakhand Aawasiya Viswavidyalaya,"Jagat Singh Bist Rajkiya Hotel Management and Catering Sansthan Parisar, Chilkapita, Khatyadi, Almora",Uttarakhand - 263601,State university
302,Uttarakhand Ayurved University,"7-A, Pleasant Valley Rajpur Road Dehradun",Uttarakhand - 248 009,State university
303,Uttarakhand Open University,"Near Transport Nagar,Teen Pani By Pass Road Post Office:- Industrial Estate Haldwani (Nainital)",Uttarakhand - 263139,State university
304,Uttarakhand Sanskrit University,"NH-58, BHEL More, Haridwar-Delhi National Highway, P.O. Bahadarabad Haridwar",Uttarakhand - 249 402,State university
305,Uttarakhand Technical University,"A-12, Saraswati Vihar, lover Aghoe- wala, Dehrdun",Uttarakhand -,State university
306,Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,"Bharsar, Pauri Garhwal Uttrakhand",Uttarakhand -,State university
307,Goa University,"Teleiogao Plateau, Goa - 403 206",Goa -,State university
308,A.P.J. Abdul Kalam Technological University,"CET Campus, Thiruvananthapuram",Kerala - 695016,State university
309,Calicut University,Calicut University P.O. Malappuram District Calicut,Kerala - 673 635,State university
310,Cochin Unviersity of Science & Technology,"Kochi, Cochin - 682 022.",Kerala -,State university
311,Kannur University,Mangattuparamba Distt- Kannur,Kerala - 670 567,State university
312,Kerala Agricultural Unviersity,"Vellanikkara, Thrissur - 680 654.",Kerala -,State university
313,Kerala University,Thiruvananthapuram - 695 0,Kerala -,State university
314,Kerala University of Fisheries & Ocean Studies,Ranangarh Kochi,Kerala - 682506,State university
315,Kerala University of Health Sciences,Trissur,Kerala - 680596,State university
316,Kerala Veterinary & Animal Sciences University,"Pookot, Lakkidi PO Wayanad",Kerala -,State university
317,Mahatma Gandhi Unversity,"Kottayam, PIN - 686 560. (KERALA).",Kerala -,State university
318,National University of Advanced Legal Studies (NUALS),"Kaloor, Kochi-682017, Kerala",Kerala -,State university
319,Shree Sankaracharaya University of Sanskrit,"P.B.No. 14, Kalady District, Ernakulam Kalady",Kerala -,State university
320,Thunchath Ezhuthachan Malayalam University,"Aksharam Campus Vakkad PO, Tirur, Malappuram",Kerala - 676 502,State university
321,Baba Farid University of Health Sciences,Sadiq Road Faridkot-151 203 Panjab,Punjab -,State university
322,Guru Angad Dev Veterinary & Animal Sciences University,"Ferozepur Road, Ludhiana Punjab-141004",Punjab -,State university
323,Guru Nanak Dev University,Amritsar PIN - 143 005,Punjab -,State university
324,Guru Ravidas Ayurved University,"Jodhmal Hohiarpur, Punjab",Punjab -,State university
325,Maharaja Ranjit Singh Punjab Technical University,Dabwali Road Bathinda,Punjab - 151001,State university
326,Punjab Agriculture University,Ludhiana - 141 004.,Punjab -,State university
327,Punjab Technical University,"Jalandhar-kapurthala Highway, Near Pushpa Gujral Science City,Kapurthala(PB.)",Punjab - 14460,State university
328,Punjabi University,"Patiala, PIN - 147 002.",Punjab -,State university
329,The Maharaja Bhupinder Singh Punjab Sports University,"Mohindra Kothi, Near Fountain Chowk, Patiala",Punjab - 147001,State university
330,The Rajiv Gandhi National University of Law,"Mohindra Kothi,Patiala-147 001",Punjab -,State university
331,Aliah University,"IIA/27, New Town, Kolkata",West Bengal - 700160,State university
332,Bankura University,"Puabagan Camp Office, PO Bhagabandh, Dist. Bankura",West Bengal - 722146,State university
333,Bidhan Chandra Krishi Vishwavidyalaya,"P.O.Krishi Viswavidyalaya,Mohanpur Distt. Nadia 741 252 (WB)",West Bengal -,State university
334,Burdwan University,Rajbati Burdwan,West Bengal -,State university
335,Calcutta University,Kolkata PIN - 700 073.,West Bengal -,State university
336,Cooch Behar Panchanan Barma University,Vibekananda Road Cooch Behar,West Bengal - 736101,State university
337,Diamond Harbour Women's University,"Sarisha Diamond Harbour Road, District: South 24 paraganas,",West Bengal - 743368,State university
338,Jadavpur University,"Jadavpur University, Kolkatta, PIN - 700 032.",West Bengal -,State university
339,Kalyani University,Kalyani,West Bengal -,State university
340,Kazi Nazrul University,"Nazrul Road, Kalla Bypass More PO – Kalla, C. H., P. s. Asansol (North) Dist. Paschim Bardhman",West Bengal - 713 304,State university
341,Maulana Abul Kalam Azad University of Technology,"BF-142, Sector-1, Salt Lake city, Sector-I, Kolkata",West Bengal - 700064,State university
342,Netaji Shubhash Open University,"DD-26, Salt Lake, Sector-1, Kolkata.",West Bengal - 700064,State university
343,Presidency University,86/1 College Street Kolkata,West Bengal - 700073,State university
344,Rabindra Bharati University,"56A, Barrackpore Trunk Road Kolkata - 700 050.",West Bengal -,State university
345,Raiganj University,"P.O. Raiganj, Dist. Uttar Dinajpur West Bengal",West Bengal - 733134,State university
346,Sidho-Kanho-Birsha University,"Administrative Building, Ranchi Road Campus, Near Sainik School,Purulia",West Bengal - 723104,State university
347,The Bengal Engineering & Science University,Shibpur Howrah,West Bengal -,State university
348,The Sanskrit College and University,Bankim Chaterjee Street Kolkata,West Bengal - 700073,State university
349,The West Bengal National University of Juridical Science,"Aranya Bhavan, 10A LA Blk.,S.L City,Calcutta",West Bengal -,State university
350,The West Bengal University of Health Sciences,"DD-36, Secotor-1 Salt Lake Kolkata",West Bengal - 700064,State university
351,University of North Bengal,"Raja Ram Mohanpur, Raja Ram Mohanpur, PO North Bengal University, District Darjeeling",West Bengal - 734013,State university
352,Univesity of Gour Banga,"N.H. 34, P.O. Mokdumpur Distt. Malda",West Bengal - 732103,State university
353,Uttar Banga Krishi Vishwavidyalaya,"P.O. Pundibari, Distt.- Cooch Behar, West Bengal-736165",West Bengal -,State university
354,Vidya Sagar University,"PO. -Vidyasagar University Midnapore-721102, Dist.-paschim Mediripur, (W.B.)",West Bengal -,State university
355,West Bengal State University,"Barasat Govt. College, Annexe Building 10knc, Kolkata-700124",West Bengal -,State university
356,West Bengal University of Animal and Fishery Sciences,Kolkatta -700 037.,West Bengal -,State university
357,"West Bengal University of Teachers, Training, Education Planning and Administration","25/2 & 25/3, Ballygunge Circular Road Kolkata",West Bengal - 700019,State university
358,Anand Agricultural University,Anand,Gujarat -,State university
359,Bhakta Kavi Narsinh Mehta University,"C/o Govt. Polytechnic College Bilkha Road Khadiya, Junagadh",Gujarat - 362640,State university
360,Birsa Munda Tribal University,"Vocational Training Centre(VTC)) Near RTO Office, Vavdi Road, Vavdi-Rajpipla, Distt.- Narmada",Gujarat - 393145,State university
361,Children's University,"Subhash Chandra Bose Shikshan Sankul Sector-20, Gandhinagar",Gujarat - 382021,State university
362,Dharmsinh Desai University,"P.Box No. 35 College Road, Nadiad-387001",Gujarat -,State university
363,Dr. Babasaheb Ambedkar Open University,"Jyotirmay Parisar, Dr Babasaheb Ambedkar Open University Marg, S.G. Highway, Chharodi, Ahmedabad",Gujarat - 382481,State university
364,Gujarat Ayurveda University,"Chanakya Bhavan, Jamnagar-361 008",Gujarat -,State university
365,Gujarat Biotechnology University,"C/o Gujarat State Biotechnology Mission, Block 11, 9th Floor, Udyog Bhawan, Gandhinagar",Gujarat - 382011,State university
366,Gujarat Forensic Sciences University,"Sector-18/A, Near Police Bhavan, Gandhinagar",Gujarat - 382007,State university
367,Gujarat National Law University,"Attalika Avenue, Knowledge Corridor, Koba (Sub P.O) Gandhinagar,",Gujarat - 382426,State university
368,Gujarat Technological University,"Gujarat Technological University Campus, Nr.Visat Three Roads, Visat - Gandhinagar Highway Chandkheda, Ahmedabad",Gujarat - 382424,State university
369,Gujarat University,"P.B.No.4010, Navrangpura, Ahmedabad",Gujarat - 380 009,State university
370,Gujarat University of Transplantation Sciences,"IKDRC-ITS Premises, Civil Hospital Campus, Asarwa, Ahmedabad",Gujarat - 380016,State university
371,Hemchandracharya North Gujarat University,"Rajmahal Road, Patan- 384 265. (GUJARAT)",Gujarat -,State university
372,Indian Institute of Teacher Education,"Govt. College Campus Nr. Mahatma Mandir, G-4, Sector-15 Gandhinagar",Gujarat - 382 016,State university
373,Institute of Infrastructure Technology Research and Management,"Near Khokhara Circle Maninagar (East), Ahmedabad, Gujarat",Gujarat - 380026,State university
374,Junagarh Agricultural University,Junagarh,Gujarat - 362 001,State university
375,Kamdhenu University,"Krushibhavan, Sector 10 A, Block B, Podium Level, Gandhinagar",Gujarat - 382010,State university
376,Krantiguru Shyamji Krishna Verma Kachchh University,"CS-60, Jubilee Ground Bhuj-Kachchh, Gujarat",Gujarat -,State university
377,Krishnakumarsinhji Bhavnagar University,"Gauri Shankar Lake Road, Bhavnagar",Gujarat - 364 001,State university
378,Navsari Agriculture University,Navsari,Gujarat - 396450,State university
379,Raksha Shakti University,"New Mental Corner Meghaninagar, Ahmedabad",Gujarat - 380 016,State university
380,Sardar Krushinagar Dantiwada Agricultural University,Sardar Krushinagar Dist. Banaskantha,Gujarat - 385506,State university
381,Sardar Patel University,"P.B. No. 10, Vallabh Vidyanagar Anand-388 120. (GUJARAT)",Gujarat -,State university
382,Saurashtra University,Kalavad Road Rajkot Gujarat,Gujarat - 360 005,State university
383,Shree Somnath Sanskrit University,Ta: Veraval District Junagarh,Gujarat -,State university
384,Shri Govind Guru University,"Government Polytechnic Campus, Gadukpur,Godhra, Dist. Panchmahals",Gujarat - 389001,State university
385,Swarnim Gujarat Sports University,"Sector-19, Punit Van Road, Near : Suvidha Kenra PTC Building Campus, Gandhinagar",Gujarat - 382 019,State university
386,The Maharaja Sayajirao University of Baroda,"Head Office, Maharaja Fatehsinghrao Gaekwad Road, Fatehgunj, Vadodara",Gujarat - 390002,State university
387,Veer Narmad South Gujarat University,Surat,Gujarat - 395 007,State university
388,Atal Bihari Bajpayee Vishwavidyalaya,"Near Gandhi Chowk, Bilaspur",Chhattisgarh - 495009,State university
389,Ayush and Health Sciences University of Chhattisgarh,"G.E. Road , Raipur,",Chhattisgarh -,State university
390,Bastar Vishwavidyalaya,"Jagdalpur, Dist.: Bastar Chhattisgarh -494005",Chhattisgarh -,State university
391,Chhattisgarh Kamdhenu Vishwavidyalaya,"Anjora ,Durg",Chhattisgarh -,State university
392,Chhattisgarh Swami Vivekanad Technical Universty,"North Park Avenue , Sector-8 Bhilai, Durg-490009 Chatisgarh",Chhattisgarh -,State university
393,Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavidyalaya),"Raipur Naka, Durg",Chhattisgarh - 491001,State university
394,Hidayatullah National Law University,Raipur Chattisgarh-493661,Chhattisgarh -,State university
395,Indira Gandhi Krishi Vishwavidyalaya,Krishak Nagar Raipur - 492 012.(Chattisgarh),Chhattisgarh -,State university
396,Indira Kala Sangeet Vishwavidyalaya,Khairagarh-491881.(Chattisgarh),Chhattisgarh -,State university
397,International Institute of Information Technology,"Plot No.-7, Sector 24, Near Purkhoti, Muktangan, Naya Raipur",Chhattisgarh - 493661,State university
398,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Raipur (Chattisgarh),Chhattisgarh -,State university
399,Pt. Sundarlal Sharma (Open) University,"Bilaspur, Vyapar Vihar, Bilaspur-495001 Chhattisgarh",Chhattisgarh -,State university
400,Pt.Ravishankar Shukla University,Raipur - 492 010 Chattisgarh,Chhattisgarh -,State university
401,Sarguja University,"Ambikapur, Chhattisgarh",Chhattisgarh -,State university
402,Bikaner Technical University,"University College of Engineering & Technology, Bikaner Campus, Karni Industrial Area, Pugal Road, Bikaner",Rajasthan - 334004,State university
403,Dr. Bhimrao Ambedkar Law University,"89, Royal House, Khawasji Ka Bagh Durgapura, Tonk Road, Jaipur",Rajasthan - 302 018,State university
404,"Dr. Bhimrao Ambedkar Law University, Jaipur",Jaipur Rajasthan,Rajasthan -,State university
405,Govind Guru Tribal University,"Shri Govind Guru Government College Campus, Banswara",Rajasthan - 327001,State university
406,Haridev Joshi University of Journalism and Mass Communication,"rajeev Gandhi Vidhya Bhawan Sarvepalli radhakrishnan Shiksha Sankul JLN Marg, Jaipur",Rajasthan - 302004,State university
407,Jagadguru Ramanandacharya Sanskrit University,"Village:Madau, Post :Bhankrota Jaipur-302026",Rajasthan -,State university
408,Jai Naraim Vyas University,Jodhpur PIN - 342 001.(RAJASTHAN,Rajasthan -,State university
409,Maharaja Ganga Singh University,National Highway No.-15 Jaisalmer Road Bikaner,Rajasthan -,State university
410,Maharaja Surajmal Brij University,"M.S.J. College, Campus Home » Contact Us Contact Us Maharaja Surajmal Brij, University M.S.J. College, Campus Bharatpur",Rajasthan - 321001,State university
411,Maharana Pratap University of Agriculture & Technology,"P.O.Box-171 , New Campus Udaipur-313001",Rajasthan -,State university
412,Maharishi Dayanand Saraswati University,Pushkar Bye Pass Ajmer - 305 001,Rajasthan -,State university
413,Mohan Lal Shukhadia University,"Udaipur, RAJASTHAN)",Rajasthan - 313 001,State university
414,National Law Universituy,"NH-65,nagaur Road, Mandor Jodhpur - 342304 (Rajasthan)",Rajasthan -,State university
415,Pandit Deendayal Upadhyaya Shekhawati University,Behind Shri Kalyan Government College Sikar,Rajasthan - 332 001,State university
416,Raj Rishi Bhartrihari Matsya University,Girls Hostel Building Babu Shobharam Government Arts College Campus Alwar,Rajasthan - 301001,State university
417,Rajasthan Ayurveda University,"City office,82,Income Tax Col. Paota'C'Road,Jodhpur,Rajasthan",Rajasthan -,State university
418,Rajasthan ILD Skills University (RISU),Hostel Khasa Kothi Campus M. I. Road Jaipur,Rajasthan - 302001,State university
419,Rajasthan Technical University,"Rawat bhata Road Kota-324 010, Rajasthan",Rajasthan -,State university
420,Rajasthan University,"Jaipur, PIN - 302 004.",Rajasthan -,State university
421,Rajasthan University of Health Sciences,"Kumbha Marg, Pratap Nagar, Sector-18, Tonk Road, Sanganer, Jaipur",Rajasthan - 302033,State university
422,Rajasthan University of Veterinary & Animal Sciences,Bikaner,Rajasthan -,State university
423,"Sardar Patel University of Police, Security & Criminal Justice","Opp. Gramin Police line Mathania Road, Daijar Jodhpur",Rajasthan - 342 304,State university
424,Swami Keshwanand Rajasthan Agriculture University,"Beechwal, Sriganganagar Road, Bikaner",Rajasthan -,State university
425,University of Kota,Kota Rajasthan,Rajasthan -,State university
426,Vardhman Mahaveer Open University,"Rawatbhata, Road Kota RAJASTHAN",Rajasthan - 324 021,State university
427,Dr. B.R.Ambedkar Open University,Jubilee Hills Hyderabad - 500 033.,Telangana -,State university
428,Jawaharlal Nehru Architecture and Fine Arts University,"Mahaveer Marg, Masab Tank, Hyderabad",Telangana - 500028,State university
429,Jawaharlal Nehru Technological University,Kukatpally Hyderabad - 500 085. Andhra Pradesh,Telangana -,State university
430,Kakatiya University,"Kakatiya University, Warangal, Vidyaranyapuri, PIN - 506 009.",Telangana -,State university
431,Kaloji Narayan Rao University of Health Sciences,"Kakatiya Medical College Campus, Rangampet, Warangal (U)",Telangana - 506007,State university
432,Mahatma Gandhi University,"Post. Yellareddygudem Panagal, Nalgonda",Telangana - 508 254,State university
433,National Academy of Legal Studies & Research University,Hyderabad,Telangana -,State university
434,Nizam's Institute of Medical Sciences,Punjagutta Hyderabad,Telangana - 500082,State university
435,Osmania University,"Hyderabad, PIN - 500 007.",Telangana -,State university
436,Palamuru University,"Ayyappa Complex Opp. Police Head Quarters, Mahabubnagar-509001",Telangana -,State university
437,Potti Sreeramulu Teugu Universtity,Lalitakala -Kshetram Hyderabad-500004,Telangana -,State university
438,Professor Jayashankar Telangana State Agricultural University,Rajendranagar Hyderabad,Telangana - 500030,State university
439,Rajiv Gandhi University of Knowledge Technology,"Ground Floor,Vindhya C-4 Building IIIT-H Campus, Gachibowli Hyderabad",Telangana - 500032,State university
440,Satavahana University,"Jyothinagar, Karimnagar Andhra Pradesh-505001",Telangana -,State university
441,Sri Konda Laxman Telangana State Horticultural University,Rajendranagar Hyderabad,Telangana - 500030,State university
442,Sri P V Narsimha Rao Telangana Veterinary University,"Rajendranagar, Hyderabad",Telangana - 500030,State university
443,Telangana University,Dichpally Nizamabad- 503 322 Andhra Pradesh,Telangana -,State university
444,Bhagat Phool Singh Mahila Vishwavidyalaya,"Khanpur Kalan Sonipat, Haryana",Haryana -,State university
445,Ch. Bansi Lal University,Bhiwani,Haryana - 127021,State university
446,Chaudhary Devi Lal University,Sirsa Haryana -125 055,Haryana -,State university
447,Chaudhary Ranbir Singh University,Jind,Haryana -,State university
448,Choudary Charan Singh Haryana Agricultural Univeersity,Hissar - 125 004. HARYANA,Haryana -,State university
449,Deen Bandhu Chhotu Ram University of Sciences & Technology,"Murthal,Haryana-131039",Haryana -,State university
450,Dr. B.R. Ambedkar National Law University,"Rai, Sonipat,",Haryana -,State university
451,Guru Jambeshwar University of Science and Technology,HISAR - 125 001. HARYANA,Haryana -,State university
452,Gurugram University,"Rao Tula Ram College of Commerce & Science, Sector-51, Gurugram",Haryana - 122018,State university
453,Haryana Vishwakarma Skill University,"Dudhola Palwal Sector-18, Gurugram",Haryana -,State university
454,Indira Gandhi University,"Meerpur,Rewari",Haryana -,State university
455,"J. C. Bose University of Science & Technology, YMCA",Faridabad Sector-6,Haryana - 121006,State university
456,Kurukshetra University,"Kurukshetra, PIN - 136 119 (HARYANA)",Haryana -,State university
457,Lala Lajpat Rai University of Veterinary & Animal Sciences,"Hisar,",Haryana - 125004,State university
458,Maharana Partap Horticultural University,Karnal,Haryana - 132001,State university
459,Maharishi Balmiki Sanskrit University,"Mundri, Kaithal",Haryana - 136027,State university
460,Maharishi Dayanand University,Rohtak PIN - 124 001. (HARYANA),Haryana -,State university
461,Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak-124001 Haryana,Haryana -,State university
462,Shri Krishna AYUSH University,"Umri Road, Sector-8, Kurukshetra",Haryana -,State university
463,State University of Performing and Visual Arts,Sector-6 Rohtak,Haryana -,State university
464,Punjab University,"Chandigarh, PIN - 160 014.",Chandigarh -,State university
465,Sikkim State University,Gangtok East Sikkim Tadong,Sikkim - 737102,State university
466,Gandhi Institute of Technology and Management (GITAM),"Gandhi Nagar Campus, Rushikonda, Visakhapatman",Andhra Pradesh - 530045,Deemed University
467,Sri Sathya Sai Institute of Higher Learning,"Vidyagiri, Prasanthi Nilayam-515134 Anantapur Distt. A.P.Prasanthinilay",Andhra Pradesh -,Deemed University
468,"Vignan's Foundation for Science, Technology and Research","Vadlamudi Guntur, Andhra Pradesh",Andhra Pradesh - 522213,Deemed University
469,Koneru Lakshmaiah Education Foundation,"Vaddeswaram,Guntur Andhra Pradesh-522502",Andhra Pradesh -,Deemed University
470,"National Institute of Food Technology, Entrepreneurship & Management (NIFTEM)","1, Bhawalpur House, Bhagwan- Plot No. 97, HSIIDC Industrial Estate Phase-IV Kundli, Sonepat",Haryana - 131028,Deemed University
471,Maharishi Markandeshwar (Deemed to be University),"Ambala – Yamunanagar Highway, Mullana, Ambala",Haryana - 133 207,Deemed University
472,Lingaya's Vidyapeeth,"Nachauli, old Faridabad,Jasana Road Fridabad- 121002",Haryana -,Deemed University
473,National Brain Research Centre,"SCO 5,6 & 7 Sector-XV Part-II Gurgaon -122001 (Haryana)",Haryana -,Deemed University
474,National Dairy Research Institute,Karnal - 132 001. HARYANA,Haryana -,Deemed University
475,Manav Rachna International Institute of Research and Studies,"5E/1A, Bungalow Plot, N.I.T. Faridabad-121001 Haryana",Haryana -,Deemed University
476,Indian Institute of Information Technology and Management,"Gwalior-474004 (M.P.) Nh92, Morena Link Road.",Madhya Pradesh -,Deemed University
477,Lakshmibai National Institute of Physical Education,"Shaktinagar, Mela Road, Gwalior - 474002. M.P.",Madhya Pradesh -,Deemed University
478,Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,"Technologhy, Design & Manufacturing IT Bhavan, Govt. Engineering College , Jabalpur, Madhya Pradesh",Madhya Pradesh -,Deemed University
479,Bharath Institute of Higher Education & Research,"173,Aghar Road Selaiyur,Chennai 600073",Tamil Nadu -,Deemed University
480,Chennai Mathematical Institute,"Plot No. D-19 & D-20 SIPCOAT IT Park Padur Post Siruseri,TamilNadu",Tamil Nadu -,Deemed University
481,The Gandhiigram Rural Institute,Dist - Dinigul,Tamil Nadu - 624302,Deemed University
482,Chettinad Academy of Research and Education (CARE),Rajiv Gandhi Salai Kelambakkkam Chennai-603103 Kanchipuram Distt. Tamil Nadu,Tamil Nadu -,Deemed University
483,Hindustan Institute of Technology and Science (HITS),"P.O.Bag No.:01, Rajiv Gandhi Salai, Padur, Kelambakkam, Chennai",Tamil Nadu - 603 103,Deemed University
484,Kalasalingam Academy of Research and Education,"Anand Nagar,Krishnankoil,Virudhuna Virudhunagar,Srivilliputtur Tamal Nadu",Tamil Nadu -,Deemed University
485,Meenakshi Academy of Higher Education and Research,"No.12, vermbuliamman Kail St, K.K. Nagar(West) Chennai-600078 Tamil Nadu",Tamil Nadu -,Deemed University
486,Noorul Islam Centre for Higher Education,"Kumaracoil,Thuckalay Kanyakumari, Tamil Nadu",Tamil Nadu -,Deemed University
487,B.S. Abdur Rahman Institute of Science and Technology,"Seethakathi Estate G.S.T.Road, Vandalur, Chennai Tamilnadu-600 048",Tamil Nadu -,Deemed University
488,Academy of Maritime Education and Training,"135,East Coast Road,Kanathur Chennai- 603112",Tamil Nadu -,Deemed University
489,Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore - 641 043.,Tamil Nadu -,Deemed University
490,Amrita Vishwa Vidyapeetham,Coimbatore Tamil Nadu-641 105,Tamil Nadu -,Deemed University
491,Karunya Institute of Technology and Sciences,"Karunya Nagar, Coimbatore Tamil Nadu-641 114",Tamil Nadu - 600028,Deemed University
492,Karpagam Academy of Higher Education,"Pallachi Main Road, Coimbatore Eachanari Post, Tamil Nadu-641021",Tamil Nadu - 641021,Deemed University
493,Dr. M.G.R. Educational and Research Institute,"Periyar E.V.R. High Road, Maduravoyal,Chennai-600095",Tamil Nadu -,Deemed University
494,Periyar Manaimmai Institute of Science & Technology (PMIST),"Periyar Nagar, Vallam Thanjavur",Tamil Nadu -,Deemed University
495,Ponnaiyan Ramajayam Institute of Science & technology (PMIST),"Yagappa Chavadi, Thanjavur",Tamil Nadu -,Deemed University
496,S.R.M Institute of Science and Technology,"2, Veerasamy Street West Mambalam Chennai",Tamil Nadu -,Deemed University
497,Rajiv Gandhi National Institute of Youth Development,Sriperrumbudur,Tamil Nadu -,Deemed University
498,Sathyabama Institute of Science and Technology,Jeppiaar Nagar Rajiv Gandhi Salai Chennai,Tamil Nadu - 600119,Deemed University
499,Saveetha Institute of Medical and Technical Sciences,Post Box No. 6 No. 162 Poonamalle High Road Velappanchavadi Chennai,Tamil Nadu -,Deemed University
500,Shanmugha Arts Science Technology & Research Academy (SASTRA),Tirumalai Samudram Thanjavur,Tamil Nadu -,Deemed University
501,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya,Sri Jayendra Saraswathi Street Enathur Kancheepuram,Tamil Nadu -,Deemed University
502,Sri Ramachandra Institute of Higher Education and Research (Deemed University),"Porur, Chennai",Tamil Nadu - 600116,Deemed University
503,St. Peter’s Institute of Higher Education and Research,"Avadi, Chennai",Tamil Nadu - 600054,Deemed University
504,VELS Institute of Science Technology & Advanced Studies (VISTAS),"Velen Nagar, P. V. Vaithiyaligam Road, Pallavaram Chennai",Tamil Nadu - 600117,Deemed University
505,Vellore Institute of Technology,Vellore,Tamil Nadu -,Deemed University
506,Vinayaka Mission’s Research Foundation,Sankari Mani Road NH 47 Ariyanoor Salem,Tamil Nadu -,Deemed University
507,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu -,Deemed University
508,North Eastern Regional Institute of Science & Technology,"Nirjuli,Itanagar Arunachal Pradesh-791 109",Arunachal Pradesh -,Deemed University
509,Central Institute of Buddhist Studies(CIBS),"Choglamsar, Leh (Ladakh), Jammu & Kashmir",Jammu and Kashmir -,Deemed University
510,Bharati Vidyapeeth,"Lal Bahadur Shastri Marg, Pune",Maharashtra - 411030,Deemed University
