,UniversityName,Address,State,Type
64,Krishna University,"Andhra Jateeya Kalasala, Campus, Rajupeta Machllipatanam",Andhra Pradesh - 521001,State university
65,Rajiv Gandhi University of Knowledge Technologies,"V. R. Mansions, Kunchanapalli, Guntur District,",Andhra Pradesh - 522501,State university
66,Rayalaseema University,Kurnool-518 002 Andhra Pradesh,Andhra Pradesh -,State university
67,Sri krishnadevaraya University,Sri Venkateswarpuram-515055 Anantur Andhra Pradesh,Andhra Pradesh -,State university
68,Sri Padmavati Mahila Vishwavidyalayam,"Padmavathi Puram, Near West Railway Station, Tirupati - 517 502. Andhra Pradesh, INDIA",Andhra Pradesh -,State university
69,Sri Venkateswara Institute of Medical Sciences,Triupati-517 507,Andhra Pradesh - 517 507,State university
70,Sri Venkateswara University,Tirupati- 517 502. A.P.,Andhra Pradesh -,State university
71,Sri Venkateswara Vedic University,"Administrative Office, Dr.Y.S.R. Bhavan, Tirupati-517502 Chittoor Dist, Andhra Pradesh",Andhra Pradesh -,State university
72,Sri Venkateswara Veterinary University,"Alipiri-Chandragiri Bypass Road Tirupati , Andhra Pradesh-517 502",Andhra Pradesh -,State university
73,Vikrama Simhapuri University,"kakutur, Venkatachalam (M.D.) Nellore Andhra Pradesh",Andhra Pradesh - 524320,State university
74,Yogi Vemana University,"Vemanapuram, Kadapa-516 003",Andhra Pradesh - 516 003,State university
75,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,"Palampur-176 062 (H.P.) Tehsil, Palampur,Dist.-Kangra",Himachal Pradesh -,State university
76,Dr. Y.S.Parmar University of Horticulture & Forestry,"Nauni, Solan-173230 (H.P)",Himachal Pradesh -,State university
77,Himachal Pradesh National Law University,"Ghandal, P.O. Shakrah, Sub-Tehsil Dhami, Shimla",Himachal Pradesh - 171011,State university
78,Himachal Pradesh Technical University,"Government Polytechnic, Baru, Hamirpur",Himachal Pradesh -,State university
79,Himachal Pradesh University,Summer Hills Shimla - 171 005. (HP),Himachal Pradesh -,State university
80,Atal Bihari Vajpayee Hindi Vishwavidyalaya,"Nirmala Devi Marg, Rajharsh Colony, Kolar Marg Bhopal",Madhya Pradesh - 462 042,State university
81,Awadesh Pratap Singh University,Rewa - 486 003.,Madhya Pradesh -,State university
82,Barkatullaah University,"Hoshangabad Road, Bhopal - 462 026.",Madhya Pradesh -,State university
83,Chhindwara University,"Library building of Government Autonomous Post Graduate College, Chhindwara,",Madhya Pradesh - 480001,State university
84,Devi Ahilya Vishwavidyalaya,"R.N.Tagore Marg, Indore",Madhya Pradesh - 452 001,State university
85,Dharmashastra National Law University,"Bharat Ratna Bhim Rao Ambedkar Institute of Telecom Training Ridge Road, Civil Lines, Jabalpur",Madhya Pradesh -,State university
86,Dr. B. R. Ambedkar University of Social Sciences,"Dr. Ambedkar Nagar, Mhow-453441 Dist-Indore, MP",Madhya Pradesh - 453441,State university
87,Jawaharlal Nehru Krishi Vishwavidyalaya,Krishinagar Jabalpur-482 004.,Madhya Pradesh -,State university
88,Jiwaji University,Gwalior PIN - 474 001. (MP),Madhya Pradesh -,State university
89,M.P.Bhoj (open) University,"Raja Bhoj Marg, Kolar Road, Bhopal",Madhya Pradesh - 462016,State university
90,Madhya Pradesh Pashu Chikitsa Vigyan Vishwavidyalaya,Civil Lines Jabalpur,Madhya Pradesh - 482001,State university
91,Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,"Chhatarpur,",Madhya Pradesh -,State university
92,Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,"B.M.birla Shodh Sansthan Parisar, Dewas Road, Ujjain Madhya Pradesh-456010",Madhya Pradesh -,State university
93,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,Chitrakoot District Satna,Madhya Pradesh - 485334,State university
94,Makhanlal Chaturvedi National University of Journalism & Communication,"B-38, Vikas Bhavan, Press Complex, MP Nagar, Zone-1 Bhopal",Madhya Pradesh - 462 011,State university
95,National Law Institute University,Bahahdbhada Road Barkeri Kalan Bhopal,Madhya Pradesh -,State university
96,Pandit S N Shukla University,Shahdol,Madhya Pradesh -,State university
97,Raja Mansingh Tomar Music & Arts University,Mahadaji Chowk Achaleshwar Marg Gwalior,Madhya Pradesh - 474 009,State university
98,Rajiv Gandhi Prodoyogiki Vishwavidyalaya,Airport Bypass Gandhi Nagar Bhopal (M.P.),Madhya Pradesh - 462036,State university
99,Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya,"Opp. Mela Ground Race Course Road Gwalior,Madhya Pradesh",Madhya Pradesh - 474 002,State university
100,Rani Durgavati Vishwavidyalaya,Jabalpur - 482 001. (M.P),Madhya Pradesh -,State university
101,Sanchi University of Buddhist-Indic Studies,"2nd Floor, Institute of Good Governance & Policy Analysis Bhadbhada Square, Bhopal",Madhya Pradesh - 462003,State university
102,Vikram University,"Ujjain,",Madhya Pradesh - 456 010,State university
103,Alagappa University,"Alagappapuram, Karaikudi Sivaganga District",Tamil Nadu - 630003,State university
104,Anna University,Sardar Patel Road Guindy Chennai,Tamil Nadu -,State university
105,Annamalai University,Annamalainagar,Tamil Nadu - 608 002,State university
106,Bharathiar University,"Coimbatore, PIN - 641 046. Tamil Nadu",Tamil Nadu -,State university
107,Bharathidasan University,Palkalaiperur Tiruchirappalli,Tamil Nadu - 620 024,State university
108,Madaras University,Chepauk Chennai,Tamil Nadu -,State university
109,Madurai Kamraj University,"Palkainagar, Madurai-625 021.(T.N.).",Tamil Nadu -,State university
110,Manonmaniam Sundarnar University,Tirunelvelli - 627 008.,Tamil Nadu -,State university
111,Mother Teresa Women's University,"Ananda Giri IV Street, Kodaikanal, T.N. - 624 101.",Tamil Nadu -,State university
112,Periyar University,"Govt. College of Engineering - Campus, Salem- 636 011 (T.N.)",Tamil Nadu -,State university
113,Tamil Nadu Fisheries University,First Linebeach Road Nagapattinam,Tamil Nadu - 611 001,State university
114,Tamil Nadu Music and Fine Arts University,Dr. D.G.S. Dinakaran Salai Chennai,Tamil Nadu - 600 088,State university
115,Tamil Nadu Open University,"No. 577, Anna Salai, Saidapet, Chennai",Tamil Nadu - 600015,State university
116,Tamil Nadu Teacher Education University,"Gangaiamman koil street, Karapakkam, Chennai,",Tamil Nadu - 600097,State university
117,Tamil University,"Trichy Road, Thanjavur, PIN - 613 005. (T.N.)",Tamil Nadu -,State university
118,Tamilnadu Agricultural University,Coimbatore-641 003. (T.N),Tamil Nadu -,State university
119,Tamilnadu Dr. Ambedkar Law University,"Poompozhil,5.Dr.D.G.S. dinakaran Salai, Raja Annamalai Puram, Chennai-600028, (T.N.)",Tamil Nadu -,State university
120,Tamilnadu Dr. M.G.R.Medical University,Guindy Chennai- 600 032.,Tamil Nadu -,State university
121,Tamilnadu National Law University,"Navalur Kuttapattu, Srirangam Taluk Tiruchirapalli",Tamil Nadu - 620 009,State university
122,Tamilnadu Physical Educaton and Sports University,"8th Floor,EVA Sampat Maaligai, college Road, Chennai-600006",Tamil Nadu -,State university
123,Tamilnadu Veterinary & Animal Sciences University,Chennai-600 007.,Tamil Nadu -,State university
124,Thiruvalluvar University,"Serkkadu, Vellore Vellore District Tamil Nadu",Tamil Nadu - 632 115,State university
125,Assam Agricultural University,Jorhat - 785 013. (ASSAM),Assam -,State university
126,Assam Rajiv Gandhi University of Co-operative Management,"Sivasagar Guwahati, Assam.",Assam -,State university
127,Assam Science & Technology University,"Kohilipara, Guwahati",Assam - 781019,State university
128,Assam Women's University,Jorhat Assam,Assam - 785001,State university
129,Bhattadev University,Bajali Pathsala Barpeta Assam,Assam - 781325,State university
130,Bodoland University,"Debargaon, P.O. Rangalikhata Kokrajhar BTC, Assam",Assam - 783 370,State university
131,Cotton University,"Panbazar, Guwahati",Assam - 781001,State university
132,Dibrugarh University,"Dibrugarh, PIN - 786 004. (ASSAM)",Assam -,State university
133,Gauhati University,"Gopinath Bardoloi Nagar, Guwahati-781014 (Assam).",Assam -,State university
134,Krishna Kanta Handique State Open University,"Last Gate,Dispur Guwahati-781 006 Assam",Assam -,State university
135,Kumar Bhaskar Varma Sanskrit & Ancient Studies University,"Vill-Namati, P.O.- Hati Namati Dist-Nalbari,Assam",Assam - 781 337,State university
136,Madhabdev University,"P.O. Dikrong (784164) Narayanpur, Lakhimpur",Assam -,State university
137,National Law University and Judicial Academy,"NEJOTI Building, B.K. Kakati Road Bholanath Mandir Parh, Ulubari Guwahati",Assam - 781 007,State university
138,Rabindranath Tagore University,Hojai,Assam - 782435,State university
139,Srimanta Sankaradeva University of Health Sciences,"Narakasur Hilltop, Bhangagarh Guwahati",Assam - 781032,State university
140,Baba Ghulam Shah Badshah University,"Rajouri Camp Office, Bye Pass- Road,Chinnai Himmat, Jammu",Jammu and Kashmir -,State university
141,Cluster University of Jammu,"Govt College for Women, Gandhi Nagar, Jammu",Jammu and Kashmir - 180004,State university
142,Cluster University of Srinagar,"S.P. College Srinagar, Srinagar",Jammu and Kashmir -,State university
143,Islamic University of Sciences & Technology University,"University Avenue,Awantipora Pulwama-192 122 Kashmir",Jammu and Kashmir -,State university
144,Jammu University,"Baba Saheb Ambedkar Road, Jammu Tawi - 180 004.",Jammu and Kashmir -,State university
145,Kashmir University,"Hazratbal, Srinagar, PIN - 190 006. (J & K)",Jammu and Kashmir -,State university
146,Sher-e-Kashmir University of Agricultural Science & Technology,Shalimar Campus P.B.No 262 Srinagar-190 001. (J&K),Jammu and Kashmir -,State university
147,Shri Mata Vaishno Devi University,"Sub-post office-182320 Katra,J&K",Jammu and Kashmir -,State university
148,Dr. Babasaheb Ambedkar Marathwada University,"University Campus, Near Soneri Mahal, Jaisingpura, Aurangabad",Maharashtra - 431004,State university
149,Dr. Babasaheb AmbedkarTechnological University,"P.O. Goregaon Lonere-402103, Dt-Raigad.",Maharashtra -,State university
150,Dr. Homi Bhabha State University,"Mumbai, Institute of Science, 15 Madame Cama Road, Mumbai",Maharashtra - 400032,State university
151,Dr. Punjabrao Deshmukh Krishi Vidyapeeth,Krishinagar Akola - 444 104.,Maharashtra -,State university
152,Gondwana University,"M.I.D.C. Road Complex Godchiroli, Maharashtra",Maharashtra - 422 605,State university
153,Kavayitri Bahinabai Chadhari North Maharashtra University,"Umavinagar P.B.No.80, Jalgaon",Maharashtra - 425001,State university
154,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,"Prashashiya Bhawan, Mouda Road Ramtek-441106,Dist. Nagpur Maharashtra",Maharashtra -,State university
155,Konkan Krishi Vidyapeeth,Dapoli District Ratnagiri,Maharashtra -,State university
156,Maharahtra University of Health Sciences,"Anand Valley, Gangapur Road Nashik-422 005",Maharashtra -,State university
157,Maharashtra Animal & Fishery Sciences University,"High Land driv Road Seminary Hills, Nagpur-440 006",Maharashtra -,State university
158,Maharashtra National Law University,"Post Box No. 8338, Deonar, Mumbai Maharashtra",Maharashtra - 400088,State university
159,Maharashtra National Law University,"Government B.Ed College Campus, Padampura, Aurangabad",Maharashtra - 431005,State university
160,"Maharashtra National Law University,","Training Institute(JOTI), Civil Lines, C P Club Road, Nagpur",Maharashtra - 440001,State university
161,Mahatma Phule Krishi Vidyapeeth,Rahuri Dt.Ahmednagar - 413 722.,Maharashtra -,State university
162,Marathwada Agricultural University,Parbhani - 431 402.,Maharashtra -,State university
163,Mumbai University,"M.G.Road, Fort, Mumbai - 400 032.",Maharashtra -,State university
164,Sant Gadge Baba Amravati University,"Camp, ti, Amravati-444602 (M.S.)",Maharashtra -,State university
165,Savitribai Phule Pune University,Ganeshkhind Pune,Maharashtra - 411 007,State university
166,Shivaji University,"Vidyanagar, Kolhapur - 416 004.",Maharashtra -,State university
167,Smt. Nathibai Damodar Thackersey Women's University,"1,Nathibai Thackersay Rd. Mumbai - 400 020.",Maharashtra -,State university
168,Solapur University,"Solapur University, Solapur Solapur Pune national Highway Kegaon,Solapur-413255 (Maharashtra)",Maharashtra -,State university
169,Swami Ramanand Teerth Marathwada University,"Dnyateerth,Vishnupuri, Nanded-431606,(M.S.)",Maharashtra -,State university
170,The Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra -,State university
171,Yashwant Rao Chavan Maharashtra Open University,"Dnyangangotri, Near Gangapur Dam,Nasik-422222",Maharashtra -,State university
172,Maharaja Bir Bikram University,Agartala Tripura,Tripura -,State university
173,Arybhatta Knowledge University,"A.N. Sinha Institute of Social Studies Campus(West) North Gondhi Maidan, Patna",Bihar -,State university
174,Babasaheb Bhimrao Ambedkar Bihar University,Muzzaffarpur - 842 001. Bihar,Bihar -,State university
175,Bhupender Narayan Mandal University,"Laloo Nagar, Madhepura, PIN - 852 113. (BIHAR)",Bihar -,State university
176,Bihar Agricultural University,Sabour (BhagalPur),Bihar - 813210,State university
177,Bihar Animal Sciences University,"Bihar Veterinary College Campus, Patna",Bihar - 800014,State university
178,Chanakya National Law University,"Nyaya Nagar, Mithapur, Patna-800001, Bihar",Bihar -,State university
179,Jai Prakash vishwavidyalaya(university),"Chapra, PIN- 841 301. (BIHAR)",Bihar -,State university
180,Kameshwar Singh.Darbhanga Sanskrit Vishwavidyalaya,Kamcshwar Nagar Darbhanga 846 008.(BIHAR),Bihar -,State university
181,Lalit Narayan Mithila University,Darbhanga PIN - 846 008. (BIHAR),Bihar -,State university
182,Magadh University,"Bodhgaya, BIHAR",Bihar - 824 234,State university
183,Maulana Mazharul Haque Arabic & Persian University,"3, Polo Road, Patna 800 006",Bihar -,State university
184,Munger University,Munger Bihar,Bihar -,State university
185,Nalanda Open University,"3rd Floor, Biscomum Bhawan, West Gandhi, Maidan, Patna, Bihar-800001",Bihar -,State university
186,Patliputra University,"Kankarbagh Road, Near Rajendra Nagar Terminal, Patna",Bihar - 800020,State university
187,Patna University,"Patna, PIN - 800 005.",Bihar -,State university
188,Purnea University,"Purnea, Bihar,",Bihar - 854301,State university
189,Rajendra Agricultural University,Pusa Samastipur-848125 (BIHAR).,Bihar -,State university
190,T.M. Bhagalpur University,Bhagalpur,Bihar -,State university
191,Veer Kunwar Singh University,Ara Bihar,Bihar - 802 301,State university
192,Binod Bihari Mahto Koylanchal University,Dhanbad Jharkhand,Jharkhand -,State university
193,Birsa Agricultural University,Kanke Ranchi - 834 006.(JHARKHAND),Jharkhand -,State university
194,Dr. Shyama Prasad University,Ranchi Jharkhand,Jharkhand -,State university
195,Jharkhand Raksha Shakti University,"Old Judicial Academy (Shri Krishna Lok Prashashan Sansthan Parisar) Mayors Road, Ranchi",Jharkhand - 834002,State university
196,Jharkhand Raksha Shakti University,Old Judicial Academy Mayors Road Ranchi,Jharkhand - 834002,State university
197,Jharkhand University of Technology,"Science & Technology Campus, Sirkha Toll, Namkum, Ranchi",Jharkhand - 834010,State university
198,Kolhan University,"Chaibasa, West Singhbhum, Jharkhand",Jharkhand -,State university
199,National University of Study & Research in Law,"Polytechnic Campus, BIT Mesra, Ranchi",Jharkhand - 835217,State university
200,Nilamber-Pitamber University,"Madininager, Palamu-822101 Jharkhand",Jharkhand -,State university
201,Ranchi University,"Ranchi, PIN - 834 008. (JHARKHAND)",Jharkhand -,State university
202,Sido Kanhu University,"Santhal Pargana, Dumka, PIN - 814 101. (JHARKHAND)",Jharkhand -,State university
203,Vinoba Bhave University,"Hazaribagh, PIN - 825 301. (JHARKHAND) Post Box No.-31",Jharkhand -,State university
204,Dhanamanjuri University,"Imphal, Manipur",Manipur -,State university
205,Manipur Technical University,"Takyelpat, Imphal Manipur",Manipur -,State university
206,Manipur University of Culture,"Palace Compound, Imphal East,",Manipur - 795001,State university
207,National Sports University,"Olympic Bhawan, Khuman Lampak, Sports Complex, Manipur",Manipur - 795001,State university
208,Allahabad State University,"CPI Parisar, Civil Lines, Allahabad",Uttar Pradesh -,State university
209,Banda University of Agriculture & Technology,Banda Uttar Pradesh,Uttar Pradesh - 210001,State university
210,Bundelkhand University,"Kanpur Road, Jhansi, PIN - 284 128 (UP)",Uttar Pradesh -,State university
211,Chandr Shekhar Azad University of Agriculture & Technology,Kanpur - 208 002.,Uttar Pradesh -,State university
212,Chatrapati Sahuji Maharaj Kanpur University,"Kalyanpur, KANPUR",Uttar Pradesh - 208 024,State university
213,Choudary Charan Singh University,Meerut - 200 005.,Uttar Pradesh -,State university
214,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur PIN - 273 009. (U.P.),Uttar Pradesh -,State university
215,Dr. A.P.J. Abdul Kalam Technical University,"Sector -11, Jankipuram Extension Yojna, Lucknow",Uttar Pradesh - 226031,State university
216,Dr. B.R. Ambedkar University,Agra,Uttar Pradesh - 282 004,State university
217,Dr. Ram Manohar Lohia Awadh University,Faizabad-224 001 (U.P),Uttar Pradesh -,State university
